node,lineage
NODE_0000807,B.1.617.2.26
NODE_0000808,B.1.617.2
NODE_0000809,B.1.617.2
NODE_0000810,B.1.617.2
NODE_0000811,B.1.617.2
NODE_0000812,B.1.617.2
NODE_0000813,B.1.617.2
NODE_0000814,B.1.617.2
NODE_0000815,B.1.617.2.29
NODE_0000816,B.1.617.2.29
NODE_0000817,B.1.617.2
NODE_0000818,B.1.617.2
NODE_0000819,B.1.617.2
NODE_0000820,B.1.617.2
NODE_0000821,B.1.617.2
NODE_0000822,B.1.617.2
NODE_0000823,B.1.617.2
NODE_0000824,B.1.617.2
NODE_0000825,B.1.617.2
NODE_0000826,B.1.617.2
NODE_0000827,B.1.617.2
NODE_0000828,B.1.617.2
NODE_0000829,B.1.617.2
NODE_0000830,B.1.617.2
NODE_0000831,B.1.617.2
NODE_0000832,B.1.617.2
NODE_0000833,B.1.617.2
NODE_0000834,B.1.617.2
NODE_0000835,B.1.617.2
NODE_0000836,B.1.617.2
NODE_0000837,B.1.617.2
NODE_0000838,B.1.617.2
NODE_0000839,B.1.617.2.5
NODE_0000840,B.1.617.2.5
NODE_0000841,B.1.617.2.5
NODE_0000842,B.1.617.2.5
NODE_0000843,B.1.617.2.5.1
NODE_0000844,B.1.617.2.5
NODE_0000845,B.1.617.2.5
NODE_0000846,B.1.617.2
NODE_0000847,B.1.617.2
NODE_0000848,B.1.617.2
NODE_0000849,B.1.617.2
NODE_0000850,B.1.617.2
NODE_0000851,B.1.617.2
NODE_0000852,B.1.617.2
NODE_0000853,B.1.617.2
NODE_0000854,B.1.617.2
NODE_0000855,B.1.617.2
NODE_0000856,B.1.617.2
NODE_0000857,B.1.617.2
NODE_0000858,B.1.617.2
NODE_0000859,B.1.617.2
NODE_0000860,B.1.617.2
NODE_0000861,B.1.617.2
NODE_0000862,B.1.617.2
NODE_0000863,B.1.617.2
NODE_0000864,B.1.617.2
NODE_0000865,B.1.617.2
NODE_0000866,B.1.617.2
NODE_0000867,B.1.617.2
NODE_0000868,B.1.617.2
NODE_0000869,B.1.617.2
NODE_0000870,B.1.617.2
NODE_0000871,B.1.617.2
NODE_0000872,B.1.617.2
NODE_0000873,B.1.617.2
NODE_0000874,B.1.617.2
NODE_0000875,B.1.617.2
NODE_0000876,B.1.617.2.20
NODE_0000877,B.1.617.2.20
NODE_0000878,B.1.617.2.20
NODE_0000879,B.1.617.2.20
NODE_0000880,B.1.617.2.20
NODE_0000881,B.1.617.2.20
NODE_0000882,B.1.617.2.20
NODE_0000883,B.1.617.2.20
NODE_0000884,B.1.617.2.20
NODE_0000885,B.1.617.2.20
NODE_0000886,B.1.617.2.20
NODE_0000887,B.1.617.2.20
NODE_0000888,B.1.617.2.20
NODE_0000889,B.1.617.2.20
NODE_0000890,B.1.617.2.20
NODE_0000891,B.1.617.2.20
NODE_0000892,B.1.617.2.20
